,Unnamed: 0,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
20,11682,BRA,South America,Brazil,2021-05-12,15359397.0,76692.0,428034.0,72259.314,2013.715,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999996,8.11,10.1,17.9,,2.2,75.88,0.765,4.3629,0.2803,17.347,0.0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,0.0006,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,<2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.37209364908503795,211812000.0,%
21,12543,BGR,Europe,Bulgaria,2021-05-12,412814.0,657.0,17150.0,59410.991,2468.178,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.6880000000001,5.81,30.1,44.4,,7.454,75.05,0.816,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0.0,0.0797,0.7085,6.2037,32.7435,27.4,3.6,3.2272556662335803,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0,%
22,12972,BFA,Africa,Burkina Faso,2021-05-12,13387.0,3.0,164.0,640.4259999999998,7.846,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,15.3706,0.0231,4.6611,0.0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0.0,0.0712,0.9503,1.5036,45.3359,4.5,20,0.053709993780797,0.000641056307707028,0.0480313830550639,0.00503755441802612,20903000.0,%
23,13852,KHM,Asia,Cambodia,2021-05-12,20695.0,472.0,136.0,1237.815,8.134,,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,4.5783,0.0377,6.08,0.0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.0030586565141640302,0.0,0.00292959927727947,0.000129057236884558,15497000.0,%
24,14285,CMR,Africa,Cameroon,2021-05-12,74946.0,0.0,1152.0,2823.265,43.397,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,5.156000000000001,0.0146,2.9330000000000003,0.0,10.3112,0.0256,1.3206,7.2151,0.8759999999999999,0.6289,0.0717,0.0673,0.8658,1.4734,0.28300000000000003,11.3883,0.0234,0.6479,0.0,0.1324,0.6398,8.859,47.067,9.5,9.9,0.11803143093465698,0.00178208887886307,0.11091435446274199,0.00533498759305211,26598000.0,%
25,14758,CAN,North America,Canada,2021-05-12,1314420.0,6557.0,24755.0,34826.308,655.898,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.4939999999999998,0.4053,5.0237,0.0,0.1439,1.3441,5.4961,33.9551,31.3,<2.5,2.10996072270228,0.0542026708562451,1.9098481277821397,,38190000.0,%
26,15734,CAF,Africa,Central African Republic,2021-05-12,6866.0,192.0,95.0,1421.602,19.67,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28,0.397,1.7435,0.1228,6.9032,0.0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.6970000000000001,0.8936,0.0031,27.7128,0.2008,0.7022,0.0,0.0,0.7240000000000001,1.9214,43.0942,6.3,59.6,0.103291925465839,0.0013043478260869599,0.10113871635610801,0.000848861283643892,4830000.0,%
27,16154,TCD,Africa,Chad,2021-05-12,4891.0,3.0,172.0,297.762,10.470999999999998,,16425859.0,11.833,16.7,2.486,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,54.24,0.398,0.8297,0.2023,12.2804,0.0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0.0,6.9910000000000005,0.0087,1.3449,0.0,0.0,0.4556,0.9141,37.7189,4.8,37.5,0.0205783018308941,0.0007406529596492269,0.0168809622563252,0.0029566866149197102,16877000.0,%
28,16599,CHL,South America,Chile,2021-05-12,1260448.0,3902.0,27384.0,65936.086,1432.5020000000004,,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,4.968999999999999,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0.0,0.11900000000000001,0.5435,5.3092,34.9584,28.8,2.7,3.84222907036466,0.0970467385721623,3.62619414483821,,19470000.0,%
29,17076,CHN,Asia,China,2021-05-12,102671.0,11.0,4846.0,71.333,3.367,,1439323774.0,147.674,38.7,10.640999999999998,5.9289999999999985,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,2.3224,0.0866,13.424000000000001,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,8.5,0.0071555243388941,0.00034384281064044503,0.0066851827422569395,0.00012649878599671298,1402385000.0,%
30,17509,COL,South America,Colombia,2021-05-12,3048719.0,16993.0,79261.0,59916.395,1557.714,,50882884.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.767,3.1032,0.0814,12.821,0.0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.027999999999999997,0.0947,0.9454,3.0981,37.1774,22.1,4.8,4.35079483860529,0.112638540571151,4.090144405792411,0.14801189224172798,49444000.0,%
31,18311,COG,Africa,Congo,2021-05-12,11343.0,0.0,148.0,2055.6020000000008,26.821,,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,4.9612,0.0122,6.1258,0.0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.17300000000000001,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0.0,0.0016,0.67,2.552,43.8709,8.4,40.3,0.5716745197535339,0.0145161290322581,0.379720913374411,0.17743747734686496,5518000.0,%
32,18744,CRI,North America,Costa Rica,2021-05-12,276887.0,3173.0,3482.0,54354.3,683.534,,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000002,1.13,80.28,0.81,1.6982,0.1529,18.677,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0.0,0.0397,1.4363,2.9837,31.3238,25.7,4.8,3.8434357268636297,0.0522793973782039,3.05578164742712,0.7353746820583059,5111000.0,%
