,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
32498,GRD,North America,Grenada,2021-05-12,161,1,1,1430.869,8.887,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
32949,GTM,North America,Guatemala,2021-05-12,237682,1416,7815,13266.786,436.213,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
33037,GGY,Europe,Guernsey,2021-04-21,,,,,,,67052,,,,,,,,,,,,,,
33463,GIN,Africa,Guinea,2021-05-12,22719,0,151,1729.944,11.498,,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
33877,GNB,Africa,Guinea-Bissau,2021-05-12,3741,0,67,1900.917,34.045,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
34304,GUY,South America,Guyana,2021-05-12,14659,128,331,18636.873,420.82,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
34723,HTI,North America,Haiti,2021-05-12,13227,48,266,1160.005,23.328,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
35151,HND,North America,Honduras,2021-05-12,222992,874,5853,22513.965,590.937,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634
35302,HKG,Asia,Hong Kong,2021-05-11,,,,,,71.3,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
35738,HUN,Europe,Hungary,2021-05-12,793784,905,28888,82169.28,2990.368,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
36179,ISL,Europe,Iceland,2021-05-12,6526,4,29,19123.81,84.982,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
36648,IND,Asia,India,2021-05-12,23703665,362727,258317,17176.514,187.186,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
37085,IDN,Asia,Indonesia,2021-05-12,1728204,4608,47617,6318.299,174.087,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
37546,OWID_INT,,International,2021-05-12,721,0,15,,,,,,,,,,,,,,,,,,
37995,IRN,Asia,Iran,2021-05-12,2707761,16409,75934,32237.955,904.052,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
38439,IRQ,Asia,Iraq,2021-05-12,1127580,4666,15855,28033.561,394.182,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
38882,IRL,Europe,Ireland,2021-05-12,254013,446,4937,51442.587,999.839,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955
38993,IMN,Europe,Isle of Man,2021-05-11,,,,,,,85032,147.872,,,,,,,,,,,,81.4,
39441,ISR,Asia,Israel,2021-05-12,839030,30,6379,96935.593,736.985,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
39909,ITA,Europe,Italy,2021-05-12,4131078,7848,123544,68325.39,2043.339,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
40337,JAM,North America,Jamaica,2021-05-12,46922,101,820,15845.812,276.918,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
40814,JPN,Asia,Japan,2021-05-12,660884,7521,11148,5225.352,88.143,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
40864,JEY,Europe,Jersey,2021-05-02,,,,,,,101073,,,,,,,,,,,,,,
41300,JOR,Asia,Jordan,2021-05-12,721853,0,9151,70748.123,896.881,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
41726,KAZ,Asia,Kazakhstan,2021-05-12,404348,2456,3387,21534.553,180.383,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
42159,KEN,Africa,Kenya,2021-05-12,164386,410,2950,3057.133,54.862,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
42584,OWID_KOS,Europe,Kosovo,2021-05-12,106243,113,2222,54969.179,1149.643,,1932774,168.155,,,,9795.834,0.6,,,,,,,,
43028,KWT,Asia,Kuwait,2021-05-12,288184,985,1669,67481.501,390.815,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806
43449,KGZ,Asia,Kyrgyzstan,2021-05-12,99316,283,1675,15222.73,256.737,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
43864,LAO,Asia,Laos,2021-05-12,1417,55,1,194.762,0.137,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613
44307,LVA,Europe,Latvia,2021-05-12,125689,729,2223,66636.023,1178.559,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866
44754,LBN,Asia,Lebanon,2021-05-12,534388,703,7549,78293.538,1106.009,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
45119,LSO,Africa,Lesotho,2021-05-12,10774,1,319,5029.287,148.909,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
45542,LBR,Africa,Liberia,2021-05-12,2114,0,85,417.978,16.806,,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
45977,LBY,Africa,Libya,2021-05-12,180945,253,3082,26333.495,448.533,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
46412,LIE,Europe,Liechtenstein,2021-05-12,2978,3,58,78086.897,1520.833,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
